GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore,com.adobe.bookstore.model,UserOrderRequest,0,10,0,0,0,4,0,3,0,3
bookstore,com.adobe.bookstore.model,BookStock,0,24,0,0,0,10,0,7,0,7
bookstore,com.adobe.bookstore.model,Book.BookBuilder,8,28,0,0,0,1,1,5,1,5
bookstore,com.adobe.bookstore.model,Book,12,25,0,0,6,4,3,5,3,5
bookstore,com.adobe.bookstore.model,OrderStock,0,31,0,0,0,13,0,9,0,9
bookstore,com.adobe.bookstore.controller,BookStockResource,0,38,0,0,0,10,0,5,0,5
bookstore,com.adobe.bookstore.service.impl,BookStockServiceImpl,11,176,4,8,4,40,4,12,0,10
bookstore,com.adobe.bookstore.repository.impl,BookStockRepositoryImpl,0,3,0,0,0,1,0,1,0,1
bookstore,com.adobe.bookstore.mapper,MapperBook,0,34,1,1,0,10,1,3,0,3
bookstore,com.adobe.bookstore.utils,Utils,0,23,0,2,0,4,0,4,0,3
bookstore,com.adobe.bookstore,BookstoreApplication,5,3,0,0,2,1,1,1,1,1
bookstore,com.adobe.bookstore.enums,Status,0,21,0,0,0,2,0,1,0,1
